CATEGORY,ITEM,NAMESPACE,NAME,CURRENT_VALUE,RECOMMENDED_VALUE,STATUS,DETAIL
"SUGGESTION","CRITICAL","Node group 'Ale-Eks-App-BE' uses AL2 AMI type (AL2_x86_64) - UNSUPPORTED since Nov 2025","Migrate to AL2023 (AL2023_x86_64_STANDARD). AL2 EKS AMI support ended Nov 26, 2025. AL2 OS EOL: Jun 30, 2026. Migration requires creating new node group with AL2023 AMI and draining old nodes. Key changes: cgroup v2, IMDSv2 enforced, nodeadm instead of bootstrap.sh.",,,,
"NODE_GROUP","managed","","Ale-Eks-App-BE","AL2_x86_64","AL2023_x86_64_STANDARD","ACTIVE","version=1.32, instances=t3.large, scaling=min:1/desired:2/max:3, capacity=ON_DEMAND, disk=30GB, release=1.32.9-20251209"
"SUGGESTION","INFO","Node group 'Ale-Eks-App-BE' K8s version (1.32) will need upgrade after control plane upgrade","After upgrading the control plane, update this node group to match.",,,,
"SUGGESTION","CRITICAL","Node group 'Ale-Eks-App-Core' uses AL2 AMI type (AL2_x86_64) - UNSUPPORTED since Nov 2025","Migrate to AL2023 (AL2023_x86_64_STANDARD). AL2 EKS AMI support ended Nov 26, 2025. AL2 OS EOL: Jun 30, 2026. Migration requires creating new node group with AL2023 AMI and draining old nodes. Key changes: cgroup v2, IMDSv2 enforced, nodeadm instead of bootstrap.sh.",,,,
"NODE_GROUP","managed","","Ale-Eks-App-Core","AL2_x86_64","AL2023_x86_64_STANDARD","ACTIVE","version=1.32, instances=t3.large, scaling=min:1/desired:2/max:3, capacity=ON_DEMAND, disk=30GB, release=1.32.9-20251209"
"SUGGESTION","INFO","Node group 'Ale-Eks-App-Core' K8s version (1.32) will need upgrade after control plane upgrade","After upgrading the control plane, update this node group to match.",,,,
"SUGGESTION","CRITICAL","Node group 'Ale-Eks-App-Isolation' uses AL2 AMI type (AL2_x86_64) - UNSUPPORTED since Nov 2025","Migrate to AL2023 (AL2023_x86_64_STANDARD). AL2 EKS AMI support ended Nov 26, 2025. AL2 OS EOL: Jun 30, 2026. Migration requires creating new node group with AL2023 AMI and draining old nodes. Key changes: cgroup v2, IMDSv2 enforced, nodeadm instead of bootstrap.sh.",,,,
"NODE_GROUP","managed","","Ale-Eks-App-Isolation","AL2_x86_64","AL2023_x86_64_STANDARD","ACTIVE","version=1.32, instances=r5a.large, scaling=min:1/desired:2/max:4, capacity=ON_DEMAND, disk=30GB, release=1.32.9-20251209"
"SUGGESTION","INFO","Node group 'Ale-Eks-App-Isolation' K8s version (1.32) will need upgrade after control plane upgrade","After upgrading the control plane, update this node group to match.",,,,
"SUGGESTION","CRITICAL","Node group 'Ale-Eks-Prometheus-NG' uses AL2 AMI type (AL2_x86_64) - UNSUPPORTED since Nov 2025","Migrate to AL2023 (AL2023_x86_64_STANDARD). AL2 EKS AMI support ended Nov 26, 2025. AL2 OS EOL: Jun 30, 2026. Migration requires creating new node group with AL2023 AMI and draining old nodes. Key changes: cgroup v2, IMDSv2 enforced, nodeadm instead of bootstrap.sh.",,,,
"NODE_GROUP","managed","","Ale-Eks-Prometheus-NG","AL2_x86_64","AL2023_x86_64_STANDARD","ACTIVE","version=1.32, instances=t3.large, scaling=min:1/desired:2/max:3, capacity=ON_DEMAND, disk=30GB, release=1.32.9-20251209"
"SUGGESTION","INFO","Node group 'Ale-Eks-Prometheus-NG' K8s version (1.32) will need upgrade after control plane upgrade","After upgrading the control plane, update this node group to match.",,,,
"NODE_GROUP","managed","","Prometheus-NG","AL2023_x86_64_STANDARD","AL2023_x86_64_STANDARD","ACTIVE","version=1.32, instances=N/A, scaling=min:0/desired:0/max:2, capacity=ON_DEMAND, disk=N/AGB, release=1.32.12-20260318"
"SUGGESTION","INFO","Node group 'Prometheus-NG' K8s version (1.32) will need upgrade after control plane upgrade","After upgrading the control plane, update this node group to match.",,,,
"NODE","node","","ip-10-16-41-101.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3a.xlarge, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-114.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-117.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=r5a.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-12.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3a.xlarge, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-152.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-44.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-6.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-76.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-41-83.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-144.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-145.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=r5a.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-149.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-156.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-23.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-43.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.large, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-67.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3.medium, os=Amazon Linux 2, arch=amd64"
"NODE","node","","ip-10-16-42-71.ap-southeast-1.compute.internal","v1.32.9-eks-ecaa3a6","","Ready","instance=t3a.xlarge, os=Amazon Linux 2, arch=amd64"
"SUGGESTION","CRITICAL","17 of 17 node(s) are running Amazon Linux 2 - UNSUPPORTED","AL2 EKS AMI support ended Nov 26, 2025. AL2 OS EOL: Jun 30, 2026. Migrate to AL2023. Nodes: ip-10-16-41-101.ap-southeast-1.compute.internal ip-10-16-41-114.ap-southeast-1.compute.internal ip-10-16-41-117.ap-southeast-1.compute.internal ip-10-16-41-12.ap-southeast-1.compute.internal ip-10-16-41-152.ap-southeast-1.compute.internal ip-10-16-41-44.ap-southeast-1.compute.internal ip-10-16-41-6.ap-southeast-1.compute.internal ip-10-16-41-76.ap-southeast-1.compute.internal ip-10-16-41-83.ap-southeast-1.compute.internal ip-10-16-42-144.ap-southeast-1.compute.internal ip-10-16-42-145.ap-southeast-1.compute.internal ip-10-16-42-149.ap-southeast-1.compute.internal ip-10-16-42-156.ap-southeast-1.compute.internal ip-10-16-42-23.ap-southeast-1.compute.internal ip-10-16-42-43.ap-southeast-1.compute.internal ip-10-16-42-67.ap-southeast-1.compute.internal ip-10-16-42-71.ap-southeast-1.compute.internal",,,,
"SUGGESTION","WARNING","metrics-server is not installed or not responding","Without it 'kubectl top' returns nothing, HorizontalPodAutoscalers cannot scale, and you have no CPU/memory data to size nodes with - which you need before planning an AL2023 migration. Install: kubectl apply -f https://github.com/kubernetes-sigs/metrics-server/releases/latest/download/components.yaml",,,,
"SUGGESTION","WARNING","Add-on 'aws-ebs-csi-driver' has an update available: v1.40.0-eksbuild.1 → v1.63.1-eksbuild.1","Update via: aws eks update-addon --cluster-name Ale-EKS-Cluster --addon-name aws-ebs-csi-driver --addon-version v1.63.1-eksbuild.1",,,,
"ADDON","managed","kube-system","aws-ebs-csi-driver","v1.40.0-eksbuild.1","v1.63.1-eksbuild.1","ACTIVE","health_issues=0"
"SUGGESTION","WARNING","Add-on 'aws-efs-csi-driver' has an update available: v2.1.6-eksbuild.1 → v3.4.1-eksbuild.1","Update via: aws eks update-addon --cluster-name Ale-EKS-Cluster --addon-name aws-efs-csi-driver --addon-version v3.4.1-eksbuild.1",,,,
"ADDON","managed","kube-system","aws-efs-csi-driver","v2.1.6-eksbuild.1","v3.4.1-eksbuild.1","ACTIVE","health_issues=0"
"SUGGESTION","WARNING","Add-on 'kube-proxy' has an update available: v1.32.6-eksbuild.12 → v1.32.13-eksbuild.21","Update via: aws eks update-addon --cluster-name Ale-EKS-Cluster --addon-name kube-proxy --addon-version v1.32.13-eksbuild.21",,,,
"ADDON","managed","kube-system","kube-proxy","v1.32.6-eksbuild.12","v1.32.13-eksbuild.21","ACTIVE","health_issues=0"
"SUGGESTION","CRITICAL","CoreDNS is significantly out of date: v1.10.1-eksbuild.1 (recommended for K8s 1.32: v1.11.4-eksbuild.40)","Running as self-managed. A component several minor versions behind the control plane is unsupported and is a likely blocker for upgrading past K8s 1.32. Upgrade before any cluster version bump.",,,,
"SUGGESTION","WARNING","CoreDNS is self-managed, not an EKS managed add-on","It will never appear in add-on update checks and must be upgraded by hand. Convert with: aws eks create-addon --cluster-name Ale-EKS-Cluster --addon-name coredns --region ap-southeast-1 --resolve-conflicts OVERWRITE",,,,
"ADDON","core_component","kube-system","CoreDNS","v1.10.1-eksbuild.1","v1.11.4-eksbuild.40","OUTDATED","managed_by=self-managed, image=602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.1"
"SUGGESTION","WARNING","kube-proxy is behind on patch releases: v1.32.6-minimal-eksbuild.12 → v1.32.13-eksbuild.21","Running as EKS add-on. Update to pick up security and bug fixes.",,,,
"ADDON","core_component","kube-system","kube-proxy","v1.32.6-minimal-eksbuild.12","v1.32.13-eksbuild.21","PATCH_BEHIND","managed_by=EKS add-on, image=602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy:v1.32.6-minimal-eksbuild.12"
"SUGGESTION","CRITICAL","VPC CNI is significantly out of date: v1.12.6-eksbuild.2 (recommended for K8s 1.32: v1.23.0-eksbuild.1)","Running as self-managed. A component several minor versions behind the control plane is unsupported and is a likely blocker for upgrading past K8s 1.32. Upgrade before any cluster version bump.",,,,
"SUGGESTION","WARNING","VPC CNI is self-managed, not an EKS managed add-on","It will never appear in add-on update checks and must be upgraded by hand. Convert with: aws eks create-addon --cluster-name Ale-EKS-Cluster --addon-name vpc-cni --region ap-southeast-1 --resolve-conflicts OVERWRITE",,,,
"ADDON","core_component","kube-system","VPC CNI","v1.12.6-eksbuild.2","v1.23.0-eksbuild.1","OUTDATED","managed_by=self-managed, image=602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/amazon-k8s-cni:v1.12.6-eksbuild.2"
"SUGGESTION","CRITICAL","EBS CSI is significantly out of date: v1.40.0 (recommended for K8s 1.32: v1.63.1-eksbuild.1)","Running as EKS add-on. A component several minor versions behind the control plane is unsupported and is a likely blocker for upgrading past K8s 1.32. Upgrade before any cluster version bump.",,,,
"ADDON","core_component","kube-system","EBS CSI","v1.40.0","v1.63.1-eksbuild.1","OUTDATED","managed_by=EKS add-on, image=602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-ebs-csi-driver:v1.40.0"
"SUGGESTION","CRITICAL","EFS CSI is significantly out of date: v2.1.6 (recommended for K8s 1.32: v3.4.1-eksbuild.1)","Running as EKS add-on. A component several minor versions behind the control plane is unsupported and is a likely blocker for upgrading past K8s 1.32. Upgrade before any cluster version bump.",,,,
"ADDON","core_component","kube-system","EFS CSI","v2.1.6","v3.4.1-eksbuild.1","OUTDATED","managed_by=EKS add-on, image=602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-efs-csi-driver:v2.1.6"
"NAMESPACE","namespace","alepay-prod","alepay-prod","Active","","Active",""
"NAMESPACE","namespace","amazon-cloudwatch","amazon-cloudwatch","Active","","Active",""
"NAMESPACE","namespace","argocd","argocd","Active","","Active",""
"NAMESPACE","namespace","cattle-fleet-clusters-system","cattle-fleet-clusters-system","Active","","Active",""
"NAMESPACE","namespace","cattle-fleet-local-system","cattle-fleet-local-system","Active","","Active",""
"NAMESPACE","namespace","cattle-fleet-system","cattle-fleet-system","Active","","Active",""
"NAMESPACE","namespace","cattle-global-data","cattle-global-data","Active","","Active",""
"NAMESPACE","namespace","cattle-global-nt","cattle-global-nt","Active","","Active",""
"NAMESPACE","namespace","cattle-impersonation-system","cattle-impersonation-system","Active","","Active",""
"NAMESPACE","namespace","cattle-provisioning-capi-system","cattle-provisioning-capi-system","Active","","Active",""
"NAMESPACE","namespace","cattle-system","cattle-system","Active","","Active",""
"NAMESPACE","namespace","cattle-ui-plugin-system","cattle-ui-plugin-system","Active","","Active",""
"NAMESPACE","namespace","cert-manager","cert-manager","Active","","Active",""
"NAMESPACE","namespace","cluster-fleet-local-local-1a3d67d0a899","cluster-fleet-local-local-1a3d67d0a899","Active","","Active",""
"NAMESPACE","namespace","default","default","Active","","Active",""
"NAMESPACE","namespace","fleet-default","fleet-default","Active","","Active",""
"NAMESPACE","namespace","fleet-local","fleet-local","Active","","Active",""
"NAMESPACE","namespace","kube-node-lease","kube-node-lease","Active","","Active",""
"NAMESPACE","namespace","kube-public","kube-public","Active","","Active",""
"NAMESPACE","namespace","kube-system","kube-system","Active","","Active",""
"NAMESPACE","namespace","local","local","Active","","Active",""
"NAMESPACE","namespace","monitoring","monitoring","Active","","Active",""
"NAMESPACE","namespace","nginx-ingress","nginx-ingress","Active","","Active",""
"NAMESPACE","namespace","p-lb6dm","p-lb6dm","Active","","Active",""
"NAMESPACE","namespace","p-wz4gb","p-wz4gb","Active","","Active",""
"NAMESPACE","namespace","p-xfk8m","p-xfk8m","Active","","Active",""
"NAMESPACE","namespace","u-67cmn","u-67cmn","Active","","Active",""
"NAMESPACE","namespace","u-7lm5h","u-7lm5h","Active","","Active",""
"NAMESPACE","namespace","u-9m22d","u-9m22d","Active","","Active",""
"NAMESPACE","namespace","u-b4sx6","u-b4sx6","Active","","Active",""
"NAMESPACE","namespace","u-fwqd4","u-fwqd4","Active","","Active",""
"NAMESPACE","namespace","u-gdx4p","u-gdx4p","Active","","Active",""
"NAMESPACE","namespace","u-lv525","u-lv525","Active","","Active",""
"NAMESPACE","namespace","u-sp49n","u-sp49n","Active","","Active",""
"NAMESPACE","namespace","u-wl9s4","u-wl9s4","Active","","Active",""
"NAMESPACE","namespace","user-psdp8","user-psdp8","Active","","Active",""
"DEPLOYMENT","deployment","alepay-prod","alepay-admintool","hub.saobang.vn/alepay/admintool:master-db51f35a5f2eed6849400efb49b1a9fe0cd48370","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-api-v3-service","hub.saobang.vn/alepay/alepay-api-v3-service:master-master-v2.26","","ready=4/4","available=4"
"DEPLOYMENT","deployment","alepay-prod","alepay-bi-report","hub.saobang.vn/alepay/alepay-bi-report-core:master-v2.0.392","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-checkout-v3-service","hub.saobang.vn/alepay/alepay-checkout-v3-service:master-v7.57","","ready=2/2","available=2"
"DEPLOYMENT","deployment","alepay-prod","alepay-core-checkout-v3","hub.saobang.vn/alepay/alepay-core-checkout-v3:master-v1.0.274","","ready=2/2","available=2"
"DEPLOYMENT","deployment","alepay-prod","alepay-core-export","hub.saobang.vn/alepay/alepay-export:master-v2.0.271","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-core-get-info","hub.saobang.vn/alepay/core-get-info:master-v1.0.88","","ready=3/3","available=3"
"DEPLOYMENT","deployment","alepay-prod","alepay-gateway","hub.saobang.vn/alepay/alepay-gateway:master-v1.0.26","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-merchant-frontend-java","hub.saobang.vn/alepay/alepay-merchant-frontend-java:master-v1.56","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-merchant-v3","hub.saobang.vn/alepay/alepay-merchant-v3:master-v3.1.81","","ready=2/2","available=2"
"DEPLOYMENT","deployment","alepay-prod","alepay-pay-all-microform","hub.saobang.vn/alepay/alepay-pay-all-microform:master-v1.47","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-payment-microform","hub.saobang.vn/alepay/alepay-payment-microform:master-v1.23","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-provider","hub.saobang.vn/alepay/provider:v1.0.18","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-schedule","hub.saobang.vn/alepay/alepay-schedule:master-v1.0.218","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","alepay-token-microform","hub.saobang.vn/alepay/alepay-token-microform:master-v1.15","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","api-partner","hub.saobang.vn/alepay/api-partner:api-partner-v1.0.17","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","api-payment-core","hub.saobang.vn/alepay/api-payment-core:master-v1.0.138","","ready=2/2","available=2"
"DEPLOYMENT","deployment","alepay-prod","api-v1-service","hub.saobang.vn/alepay/api-v1-service:master-v2.80","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","callback-merchant","hub.saobang.vn/alepay/callback-merchant:v1.58","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","core-ops","hub.saobang.vn/alepay/alepayops2.0:master-v1.1.334","","ready=2/2","available=2"
"DEPLOYMENT","deployment","alepay-prod","core-ops-backup","hub.saobang.vn/alepay/alepayops2.0:masterbackup-v1.0.55","","ready=0/0","available=0"
"DEPLOYMENT","deployment","alepay-prod","doi-soat-php","hub.saobang.vn/alepay/doi-soat-php:v3.93","","ready=1/1","available=1"
"DEPLOYMENT","deployment","alepay-prod","static-alepay","hub.saobang.vn/alepay/static-alepay:master-v1.66","","ready=2/2","available=2"
"DEPLOYMENT","deployment","argocd","argocd-applicationset-controller","quay.io/argoproj/argocd:v2.7.8","","ready=1/1","available=1"
"DEPLOYMENT","deployment","argocd","argocd-dex-server","ghcr.io/dexidp/dex:v2.37.0","","ready=1/1","available=1"
"DEPLOYMENT","deployment","argocd","argocd-redis","public.ecr.aws/docker/library/redis:7.0.11-alpine","","ready=1/1","available=1"
"DEPLOYMENT","deployment","argocd","argocd-repo-server","quay.io/argoproj/argocd:v2.7.8","","ready=1/1","available=1"
"DEPLOYMENT","deployment","argocd","argocd-server","quay.io/argoproj/argocd:v2.7.8","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-fleet-system","fleet-controller","rancher/fleet:v0.11.4, rancher/fleet:v0.11.4, rancher/fleet:v0.11.4","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-fleet-system","gitjob","rancher/fleet:v0.11.4","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-provisioning-capi-system","capi-controller-manager","rancher/mirrored-cluster-api-controller:v1.8.3","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-system","cattle-cluster-agent","rancher/rancher-agent:v2.10.3","","ready=0/2","available=0"
"SUGGESTION","WARNING","Deployment 'cattle-cluster-agent' in 'cattle-system' has insufficient ready replicas (0/2)","Investigate why not all replicas are ready.",,,,
"DEPLOYMENT","deployment","cattle-system","eks-config-operator","rancher/eks-operator:v1.10.9","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-system","rancher","rancher/rancher:v2.10.3","","ready=3/3","available=3"
"DEPLOYMENT","deployment","cattle-system","rancher-webhook","rancher/rancher-webhook:v0.6.4","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cattle-system","system-upgrade-controller","rancher/system-upgrade-controller:v0.14.2","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cert-manager","cert-manager","quay.io/jetstack/cert-manager-controller:v1.17.1","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cert-manager","cert-manager-cainjector","quay.io/jetstack/cert-manager-cainjector:v1.17.1","","ready=1/1","available=1"
"DEPLOYMENT","deployment","cert-manager","cert-manager-webhook","quay.io/jetstack/cert-manager-webhook:v1.17.1","","ready=1/1","available=1"
"DEPLOYMENT","deployment","default","nginx-deployment","nginx:latest","","ready=1/1","available=1"
"SUGGESTION","WARNING","Deployment 'nginx-deployment' in 'default' uses ':latest' or untagged image","Images: nginx:latest (:latest). Use specific version tags for reproducibility.",,,,
"DEPLOYMENT","deployment","kube-system","coredns","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.1","","ready=2/2","available=2"
"DEPLOYMENT","deployment","kube-system","ebs-csi-controller","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-ebs-csi-driver:v1.40.0, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-provisioner:v5.2.0-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-attacher:v4.8.0-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-snapshotter:v8.2.0-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-resizer:v1.13.1-eks-1-32-6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-32-6","","ready=2/2","available=2"
"DEPLOYMENT","deployment","kube-system","efs-csi-controller","602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/aws-efs-csi-driver:v2.1.6, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/csi-provisioner:v5.1.0-eks-1-31-5, 602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/livenessprobe:v2.14.0-eks-1-31-5","","ready=2/2","available=2"
"DEPLOYMENT","deployment","monitoring","kube-prometheus-stack-grafana","quay.io/kiwigrid/k8s-sidecar:1.30.10, quay.io/kiwigrid/k8s-sidecar:1.30.10, docker.io/grafana/grafana:12.3.0","","ready=1/1","available=1"
"DEPLOYMENT","deployment","monitoring","kube-prometheus-stack-kube-state-metrics","registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.17.0","","ready=1/1","available=1"
"DEPLOYMENT","deployment","monitoring","kube-prometheus-stack-operator","quay.io/prometheus-operator/prometheus-operator:v0.86.2","","ready=1/1","available=1"
"DEPLOYMENT","deployment","monitoring","loki-stack-loki-distributed-distributor","docker.io/grafana/loki:2.9.13","","ready=1/1","available=1"
"DEPLOYMENT","deployment","monitoring","loki-stack-loki-distributed-gateway","docker.io/nginxinc/nginx-unprivileged:1.20.2-alpine","","ready=2/2","available=2"
"DEPLOYMENT","deployment","monitoring","loki-stack-loki-distributed-query-frontend","docker.io/grafana/loki:2.9.13","","ready=1/1","available=1"
"DEPLOYMENT","deployment","monitoring","promtail","docker.io/grafana/promtail:2.9.2","","ready=1/1","available=1"
"SUGGESTION","INFO","35 deployment(s) run with only 1 replica","No HA and guaranteed downtime during node drain/upgrade. Consider 2+ replicas and a PodDisruptionBudget. Deployments: alepay-prod/alepay-admintool alepay-prod/alepay-bi-report alepay-prod/alepay-core-export alepay-prod/alepay-gateway alepay-prod/alepay-merchant-frontend-java alepay-prod/alepay-pay-all-microform alepay-prod/alepay-payment-microform alepay-prod/alepay-provider alepay-prod/alepay-schedule alepay-prod/alepay-token-microform alepay-prod/api-partner alepay-prod/api-v1-service alepay-prod/callback-merchant alepay-prod/doi-soat-php argocd/argocd-applicationset-controller argocd/argocd-dex-server argocd/argocd-redis argocd/argocd-repo-server argocd/argocd-server cattle-fleet-system/fleet-controller cattle-fleet-system/gitjob cattle-provisioning-capi-system/capi-controller-manager cattle-system/eks-config-operator cattle-system/rancher-webhook cattle-system/system-upgrade-controller cert-manager/cert-manager cert-manager/cert-manager-cainjector cert-manager/cert-manager-webhook default/nginx-deployment monitoring/kube-prometheus-stack-grafana monitoring/kube-prometheus-stack-kube-state-metrics monitoring/kube-prometheus-stack-operator monitoring/loki-stack-loki-distributed-distributor monitoring/loki-stack-loki-distributed-query-frontend monitoring/promtail",,,,
"STATEFULSET","statefulset","argocd","argocd-application-controller","quay.io/argoproj/argocd:v2.7.8","","ready=1/1",""
